Governo Federal 2018, Poderes Legislativo e Judiciário, Órgão Superior, UO, UG, Ação e PO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;;;;;;;;;;;;
({Esfera Orçamentária} = 1:ORCAMENTO FISCAL, 2:ORCAMENTO DE SEGURIDADE SOCIAL) E ({Mês Lançamento} = 014/2018) E ({Item Informação} = DOTACAO INICIAL, DOTACAO ATUALIZADA, DESPESAS EMPENHADAS, DESPESAS LIQUIDADAS, DESPESAS INSCRITAS EM RP NAO PROCESSADOS, DESPESAS PAGAS) E ({UO - Poder} = 1:PODER LEGISLATIVO, 2:PODER JUDICIARIO);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Páginas:;;;;;;;;;;;;;;;;;;;;;
Mês Lançamento: 014/2018;;;;;;;;;;;;;;;;;;;;;
Métrica: Saldo - R$ (Item Informação);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
UO - Órgão Superior;;Unidade Orçamentária;;UG Executora;;Ação Governo;;Plano Orçamentário;;;;;;;Item Informação;9;13;23;25;27;28
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;0Z00;RESERVA DE CONTINGENCIA - FINANCEIRA;1101;99;999;999;0Z00;1;CPSS DECORRENTE DO ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL - FINANCEIRA;;4.102.799,00;4.102.799,00;;;;
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;0Z01;RESERVA DE CONTINGENCIA FISCAL - PRIMARIA;1101;99;999;999;0Z01;1;RECURSOS PARA ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL, ANEXO V DA LOA - PRIMARIA;;21.061.237,00;0;;;;
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;10C4;CONSTRUCAO DO CENTRO DE GESTAO E ARMAZENAGEM DE MATERIAIS DA;1101;1;122;553;10C4;0;CONSTRUCAO DO CENTRO DE GESTAO E ARMAZENAGEM DE MATERIAIS DA CAMARA DOS DEPUTADOS, NO SETOR DE INDUSTRIA E ABASTECIMENTO - SIA;;4.000.000,00;4.000.000,00;525.006,55;359.556,63;165.449,92;359.556,63
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;10S2;CONSTRUCAO DO CENTRO DE TECNOLOGIA DA CAMARA DOS DEPUTADOS;1101;1;122;553;10S2;0;CONSTRUCAO DO CENTRO DE TECNOLOGIA DA CAMARA DOS DEPUTADOS;;3.000.000,00;3.000.000,00;;;;
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;12F2;REFORMA DOS IMOVEIS FUNCIONAIS DESTINADOS A MORADIA DOS DEPU;1101;1;122;553;12F2;0;REFORMA DOS IMOVEIS FUNCIONAIS DESTINADOS A MORADIA DOS DEPUTADOS FEDERAIS;;16.000.000,00;10.500.000,00;366;366;;366
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;1101;1;301;553;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;111.676.176,00;118.501.176,00;118.252.420,07;116.572.420,38;1.679.999,69;116.571.703,99
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;20TP;ATIVOS CIVIS DA UNIAO;1101;1;122;553;20TP;0;ATIVOS CIVIS DA UNIAO;;2.762.668.033,00;2.619.729.270,00;2.603.021.035,07;2.596.575.035,07;6.446.000,00;2.596.171.078,25
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;1101;1;331;553;212B;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;;30.254.304,00;29.704.304,00;29.638.269,79;29.638.269,79;;29.638.269,79
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;1101;1;331;553;212B;3;AUXILIO-TRANSPORTE DE CIVIS;;1.224.516,00;899.516,00;855.733,35;855.733,35;;855.733,35
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;1101;1;331;553;212B;5;AUXILIO-ALIMENTACAO DE CIVIS;;187.220.220,00;181.395.220,00;180.870.684,98;180.870.684,98;;180.870.684,98
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;1101;1;331;553;212B;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;;1.871.472,00;1.746.472,00;1.673.811,75;1.673.811,75;;1.640.048,75
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;1101;1;122;553;216H;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS;;10.546.513,00;10.546.513,00;7.859.436,73;7.809.436,73;50.000,00;7.791.652,73
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL;1101;1;131;553;2549;0;COMUNICACAO E DIVULGACAO INSTITUCIONAL;;93.419.899,00;80.919.899,00;58.662.322,77;55.191.590,95;3.470.731,82;52.755.193,51
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1101;1;31;553;4061;1;ADMINISTRACAO LEGISLATIVA;;662.087.875,00;660.087.875,00;548.004.293,72;478.826.408,71;69.177.885,01;471.188.963,04
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1101;1;31;553;4061;2;CAPACITACAO DE RECURSOS HUMANOS;;5.704.660,00;5.704.660,00;2.160.603,22;1.851.997,70;308.605,52;1.837.437,70
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1101;1;31;553;4061;4;REPAROS E CONSERVACAO DE RESIDENCIAS FUNCIONAIS DOS MEMBROS DO PODER LEGISLATIVO;;25.420.434,00;25.420.434,00;16.113.359,23;13.736.015,77;2.377.343,46;13.056.189,62
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;114702;FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1101;1;31;553;4061;1;ADMINISTRACAO LEGISLATIVA;;;;267.984,00;267.984,00;;267.984,00
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;170009;ESCOLA DE ADMINISTRACAO FAZENDARIA;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1101;1;31;553;4061;1;ADMINISTRACAO LEGISLATIVA;;;;54.000,00;54.000,00;;54.000,00
1000;CAMARA DOS DEPUTADOS;1901;FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS;10090;FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;1901;1;301;553;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;4.500.000,00;4.500.000,00;4.500.000,00;4.500.000,00;;4.500.000,00
1000;CAMARA DOS DEPUTADOS;1901;FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS;10090;FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1901;1;31;553;4061;1;ADMINISTRACAO LEGISLATIVA;;44.538.653,00;44.538.653,00;11.009.748,51;8.970.322,51;2.039.426,00;8.970.322,51
1000;CAMARA DOS DEPUTADOS;1901;FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS;10090;FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;1901;1;31;553;4061;2;CAPACITACAO DE RECURSOS HUMANOS;;1.500.000,00;1.500.000,00;828.703,38;795.643,38;33.060,00;795.643,38
2000;SENADO FEDERAL;2101;SENADO FEDERAL;10001;CAMARA DOS DEPUTADOS;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;000C;DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS;;;;6.082,44;6.082,44;;6.082,44
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;1;CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG;;3.418,00;7.906,00;6.811,60;6.811,60;;6.811,60
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;2;CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA;;2.806,00;3.206,00;2.829,49;2.829,49;;2.829,49
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;3;CONTRIBUICAO A ORGANIZACAO MUNDIAL DE TURISMO - OMT;;12.562,00;12.562,00;;;;
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;4;CONTRIBUICAO AO PARLAMERICAS;;66.202,00;66.202,00;60.847,10;60.847,10;;60.847,10
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;5;CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA;;0;1.136,00;1.109,80;1.109,80;;1.109,80
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;000S;CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO;;132.404,00;282.204,00;270.319,94;270.319,94;;270.319,94
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;2101;28;846;910;00OQ;000T;CONTRIBUICAO A UNIAO INTERPARLAMENTAR;;922.508,00;871.484,00;838.796,94;838.796,94;;838.796,94
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;2101;28;846;910;00PW;1;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL;;9.000,00;9.000,00;9.000,00;9.000,00;;9.000,00
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;2101;28;846;910;00PW;2;CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS;;51.340,00;54.036,00;54.036,00;54.036,00;;54.036,00
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;2101;28;846;910;00PW;3;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL;;0;14.000,00;14.000,00;14.000,00;;14.000,00
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;2101;9;272;89;181;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;;1.965.804.809,00;1.965.804.809,00;1.893.423.674,14;1.893.423.674,14;;1.893.423.674,14
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;397;APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA;2101;9;274;89;397;0;APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA DOS CONGRESSISTAS - IPC;;22.959.446,00;22.959.446,00;22.262.924,51;22.262.924,51;;22.262.924,51
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;2101;1;846;551;09HB;0;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;;224.190.157,00;224.190.157,00;161.726.580,08;161.726.580,08;;161.726.580,08
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;0Z00;RESERVA DE CONTINGENCIA - FINANCEIRA;2101;99;999;999;0Z00;1;CPSS DECORRENTE DO ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL - FINANCEIRA;;645.965,00;645.965,00;;;;
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;0Z01;RESERVA DE CONTINGENCIA FISCAL - PRIMARIA;2101;99;999;999;0Z01;1;RECURSOS PARA ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL, ANEXO V DA LOA - PRIMARIA;;13.600.768,00;13.600.768,00;;;;
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;2101;1;301;551;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;132.332.410,00;185.400.469,00;177.921.655,17;177.062.412,52;859.242,65;177.062.344,44
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;2101;1;301;551;2004;2;EXAMES PERIODICOS - CIVIS;;385.184,00;233.125,00;233.124,86;92.335,88;140.788,98;92.335,88
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;20TP;ATIVOS CIVIS DA UNIAO;2101;1;122;551;20TP;0;ATIVOS CIVIS DA UNIAO;;1.466.876.891,00;1.445.068.964,00;1.435.003.938,95;1.435.003.938,95;;1.435.003.938,95
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;2101;1;331;551;212B;1;ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS;;10.502.917,00;11.551.672,00;11.090.455,86;11.090.455,86;;11.090.455,86
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;2101;1;331;551;212B;3;AUXILIO-TRANSPORTE DE CIVIS;;913.790,00;1.100.288,00;862.586,71;862.586,71;;862.586,71
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;2101;1;331;551;212B;5;AUXILIO-ALIMENTACAO DE CIVIS;;70.346.964,00;71.588.156,00;70.633.371,11;70.633.371,11;;70.633.371,11
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;212B;BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI;2101;1;331;551;212B;9;AUXILIO-FUNERAL E NATALIDADE DE CIVIS;;1.977.396,00;2.308.878,00;1.995.324,08;1.995.324,08;;1.995.324,08
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;216H;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB;2101;1;122;551;216H;0;AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUBLICOS;;1.122.000,00;1.122.000,00;1.118.858,92;1.118.858,92;;1.118.858,92
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;2549;COMUNICACAO E DIVULGACAO INSTITUCIONAL;2101;1;131;551;2549;0;COMUNICACAO E DIVULGACAO INSTITUCIONAL;;68.600.964,00;68.600.964,00;54.452.411,93;48.860.705,78;5.591.706,15;47.892.406,45
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;1;ADMINISTRACAO LEGISLATIVA;;303.246.232,00;281.055.261,00;259.658.952,32;236.065.913,04;23.593.039,28;233.866.729,91
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;4;GESTAO DO SISTEMA DE INFORMATICA;;58.310.993,00;49.890.433,00;30.482.820,29;26.583.426,19;3.899.394,10;26.076.128,32
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;6;PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS;;21.280.650,00;17.833.667,00;16.828.770,95;15.501.235,85;1.327.535,10;15.501.072,65
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;000C;DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS;;6.027.896,00;6.027.896,00;1.744.602,55;1.504.507,89;240.094,66;1.504.507,89
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;000D;MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO;;1.050.000,00;1.050.000,00;;;;
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20001;SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;000E;FUNCIONAMENTO DA INSTITUICAO FISCAL INDEPENDENTE (IFI);;0;21.018,00;21.016,92;21.016,92;;21.016,92
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20054;FUNDO ESPECIAL DO SENADO FEDERAL;2004;ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR;2101;1;301;551;2004;1;ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO;;;;6.929.466,66;6.929.466,66;;6.929.466,66
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20054;FUNDO ESPECIAL DO SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;1;ADMINISTRACAO LEGISLATIVA;;;;163.571,30;144.621,30;18.950,00;144.621,30
2000;SENADO FEDERAL;2101;SENADO FEDERAL;20054;FUNDO ESPECIAL DO SENADO FEDERAL;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;4;GESTAO DO SISTEMA DE INFORMATICA;;;;29.421,27;29.421,27;;29.421,27
2000;SENADO FEDERAL;2101;SENADO FEDERAL;70001;SECRETARIA DE ADMINISTRACAO - TSE;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;000C;DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS;;;;20.918,00;20.918,00;;20.918,00
2000;SENADO FEDERAL;2101;SENADO FEDERAL;110245;FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.;4061;PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA;2101;1;31;551;4061;1;ADMINISTRACAO LEGISLATIVA;;;;216.385,30;216.385,30;;216.385,30
